Today's Date:	20 May 2019	Date of Test:	17 May 2019, 09:09:25 AM
Filename:	AA	Tester Channel:	2
Procedure:	BB	Description:	AA
Comment:	AA Stored @ 25°C Test @ 25° Initial test
Rec	Cycle	Step	Test Time (sec)	Step Time (sec)	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	ACImp/Ohms	DCIR/Ohms	Aux #1	 Units	VAR2	VAR5	VAR8	VAR11	VAR14	
29	1	3	280.0112	280.0112	0	0	0	3.59823	R	1	05/17/2019 9:14:05 AM	0.00000	0.00000	25.26888	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
30	1	3	290.0116	290.0116	0	0	0	3.598383	R	1	05/17/2019 9:14:15 AM	0.00000	0.00000	25.26888	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
31	1	3	299.9982	299.9982	0	0	0	3.598383	R	129	05/17/2019 9:14:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
32	1	4	300.0672	0.069	0	0	0.000128	3.598077	C	0	05/17/2019 9:14:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
33	1	4	300.4352	0.437	0.00002	0.000072	1.749905	3.660182	C	5	05/17/2019 9:14:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
34	1	4	305.3388	5.3406	0.002403	0.008812	1.749828	3.670253	C	5	05/17/2019 9:14:30 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
35	1	4	315.3392	15.341	0.007265	0.026676	1.749981	3.678798	C	1	05/17/2019 9:14:40 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
36	1	4	325.3396	25.3414	0.012126	0.044573	1.749905	3.684443	C	1	05/17/2019 9:14:50 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
37	1	4	335.34	35.3418	0.016987	0.062496	1.749981	3.688869	C	1	05/17/2019 9:15:00 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
38	1	4	345.3404	45.3422	0.021848	0.080437	1.749905	3.692378	C	1	05/17/2019 9:15:10 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
